ExchangeCode,Name,Country,City,TradingHours,TimeZone,LOAD_TS
TSE,'Toronto Stock Exchange',Canada,Toronto,'09:30 - 16:00',EST
NASDAQ,NASDAQ,USA,'New York','09:30 - 16:00',EST
NYSE,'New York Stock Exchange',USA,'New York','09:30 - 16:00',EST
